Movie Name,Genre,Rating,Votes,Duration
Boneyard,Unknown,4.2,6100.0,Unknown
Monkey Man,Unknown,6.8,99000.0,Unknown
My Dead Friend Zoe,Unknown,6.5,3900.0,Unknown
Brothers,Unknown,5.4,15000.0,Unknown
Memoir of a Snail,Unknown,7.8,25000.0,Unknown
Thelma,Unknown,7.0,27000.0,Unknown
William Tell,Unknown,5.7,7400.0,Unknown
40 Acres,Unknown,6.5,6200.0,Unknown
Sidelined: The QB and Me,Unknown,5.8,5800.0,Unknown
Riff Raff,Unknown,5.7,8500.0,Unknown
The Room Next Door,Unknown,6.8,27000.0,Unknown
Arcadian,Unknown,5.5,27000.0,Unknown
The Union,Unknown,5.5,58000.0,Unknown
No Other Land,Unknown,8.2,34000.0,Unknown
King Ivory,Unknown,6.2,1200.0,Unknown
The Outrun,Unknown,6.9,22000.0,Unknown
Drive-Away Dolls,Unknown,5.4,28000.0,Unknown
The Seed of the Sacred Fig,Unknown,7.5,19000.0,Unknown
The Crow,Unknown,4.7,41000.0,Unknown
The Shrouds,Unknown,5.7,8600.0,Unknown
Blitz,Unknown,6.2,18000.0,Unknown
Mothers' Instinct,Unknown,6.3,24000.0,Unknown
Bird,Unknown,7.0,12000.0,Unknown
The Salt Path,Unknown,6.6,6600.0,Unknown
Empire Waist,Unknown,6.2,552000.0,Unknown
Bob Trevino Likes It,Unknown,7.4,7200.0,Unknown
Atlas,Unknown,5.6,59000.0,Unknown
The Girl with the Needle,Unknown,7.5,20000.0,Unknown
The Wonderful Story of Henry Sugar and Three More,Unknown,7.1,12000.0,Unknown
Familiar Touch,Unknown,7.1,1300.0,Unknown
Uglies,Unknown,4.7,37000.0,Unknown
Hellboy: The Crooked Man,Unknown,4.5,17000.0,Unknown
The Rule of Jenny Pen,Unknown,6.1,11000.0,Unknown
Beverly Hills Cop: Axel F,Unknown,6.4,87000.0,Unknown
Your Monster,Unknown,6.4,8200.0,Unknown
Look Back,Unknown,7.8,21000.0,Unknown
Red Right Hand,Unknown,5.5,6700.0,Unknown
The Last Showgirl,Unknown,6.5,21000.0,Unknown
The Unholy Trinity,Unknown,5.5,6100.0,Unknown
Lift,Unknown,5.6,52000.0,Unknown
Young Hearts,Unknown,7.9,8400.0,Unknown
Kneecap,Unknown,7.6,24000.0,Unknown
Solo Leveling: ReAwakening,Unknown,8.7,17000.0,Unknown
Four Letters of Love,Unknown,6.0,1200.0,Unknown
Sketch,Unknown,6.6,5700.0,Unknown
Arthur the King,Unknown,7.0,38000.0,Unknown
The Surfer,Unknown,5.9,20000.0,Unknown
MadS,Unknown,6.3,12000.0,Unknown
Apartment 7A,Unknown,5.9,20000.0,Unknown
The First Omen,Unknown,6.5,71000.0,Unknown
U Are the Universe,Unknown,7.9,4300.0,Unknown
A Family Affair,Unknown,5.4,40000.0,Unknown
Greedy People,Unknown,6.2,15000.0,Unknown
Don't Let's Go to the Dogs Tonight,Unknown,6.9,1200.0,Unknown
Kill Em All 2,Unknown,4.1,1600.0,Unknown
Cuckoo,Unknown,5.7,33000.0,Unknown
Incoming,Unknown,5.8,16000.0,Unknown
Turtles All the Way Down,Unknown,6.6,8700.0,Unknown
Zero,Unknown,4.9,213000.0,Unknown
How to Make Millions Before Grandma Dies,Unknown,7.9,21000.0,Unknown
Young Woman and the Sea,Unknown,7.5,20000.0,Unknown
Rebel Moon - Part Two: The Scargiver,Unknown,5.3,63000.0,Unknown
Y2K,Unknown,4.7,20000.0,Unknown
Souleymane's Story,Unknown,7.6,6600.0,Unknown
Lucky Baskhar,Unknown,8.0,41000.0,Unknown
My Spy: The Eternal City,Unknown,5.7,12000.0,Unknown
Joy,Unknown,7.1,12000.0,Unknown
Barron's Cove,Unknown,6.0,1800.0,Unknown
Hard Truths,Unknown,7.2,8900.0,Unknown
Absolution,Unknown,5.2,11000.0,Unknown
Sheepdog,Unknown,6.4,207000.0,Unknown
Secret Mall Apartment,Unknown,7.0,2700.0,Unknown
The Forge,Unknown,6.8,5900.0,Unknown
Lowlifes,Unknown,6.2,7700.0,Unknown
Daddy's Head,Unknown,5.6,6500.0,Unknown
Love Me Dead,Unknown,4.0,175000.0,Unknown
Meiyazhagan,Unknown,8.5,22000.0,Unknown
A Sacrifice,Unknown,5.0,7300.0,Unknown
Lisa Frankenstein,Unknown,6.1,32000.0,Unknown
The Backrooms,Unknown,8.5,49000.0,Unknown
The Deliverance,Unknown,5.1,25000.0,Unknown
Kalki 2898 AD,Unknown,7.0,75000.0,Unknown
Bring Them Down,Unknown,6.4,5800.0,Unknown
Survive,Unknown,4.6,4500.0,Unknown
A Nice Indian Boy,Unknown,7.3,7400.0,Unknown
Unstoppable,Unknown,6.8,5200.0,Unknown
The Exorcism,Unknown,4.2,13000.0,Unknown
Spin the Bottle,Unknown,3.6,1700.0,Unknown
Azrael,Unknown,5.3,14000.0,Unknown
Billy Preston: That's the Way God Planned It,Unknown,8.6,46000.0,Unknown
Reagan,Unknown,6.2,13000.0,Unknown
The Silent Hour,Unknown,6.1,10000.0,Unknown
The Platform 2,Unknown,4.9,46000.0,Unknown
Time Cut,Unknown,5.1,22000.0,Unknown
The Thinking Game,Unknown,7.6,1600.0,Unknown
Spellbound,Unknown,5.5,8900.0,Unknown
Winter Spring Summer or Fall,Unknown,6.1,5800.0,Unknown
Descendants: The Rise of Red,Unknown,4.7,8100.0,Unknown
The Damned,Unknown,5.7,8300.0,Unknown
Killer Heat,Unknown,5.6,15000.0,Unknown
Cloud,Unknown,6.5,4300.0,Unknown
Anaconda,Unknown,4.8,1300.0,Unknown
Wallace & Gromit: Vengeance Most Fowl,Unknown,7.5,41000.0,Unknown
Suncoast,Unknown,6.7,8200.0,Unknown
Bob Marley: One Love,Unknown,6.2,39000.0,Unknown
Harold and the Purple Crayon,Unknown,5.7,10000.0,Unknown
Lilies Not for Me,Unknown,7.1,1600.0,Unknown
All We Imagine as Light,Unknown,7.1,14000.0,Unknown
Spermageddon,Unknown,5.4,3700.0,Unknown
Dìdi,Unknown,7.3,16000.0,Unknown
Jackpot!,Unknown,5.8,34000.0,Unknown
Undercover,Unknown,7.1,6000.0,Unknown
V/H/S/Beyond,Unknown,5.8,12000.0,Unknown
Consumed,Unknown,3.7,926000.0,Unknown
Hijack 1971,Unknown,6.8,4100.0,Unknown
The Tearsmith,Unknown,5.2,14000.0,Unknown
Magpie,Unknown,6.3,4800.0,Unknown
Bramayugam,Unknown,7.7,17000.0,Unknown
Never Let Go,Unknown,5.4,19000.0,Unknown
Unfrosted,Unknown,5.5,37000.0,Unknown
The Fable,Unknown,6.3,21000.0,Unknown
Goodrich,Unknown,6.3,7600.0,Unknown
Queen of the Ring,Unknown,6.4,3100.0,Unknown
Culpa tuya,Unknown,5.3,18000.0,Unknown
Lonely Planet,Unknown,5.7,13000.0,Unknown
Lazareth,Unknown,4.4,1200.0,Unknown
Sacramento,Unknown,5.9,3800.0,Unknown
Canary Black,Unknown,5.4,14000.0,Unknown
Beating Hearts,Unknown,7.0,8300.0,Unknown
Saali Mohabbat,Unknown,7.2,4200.0,Unknown
Dirty Angels,Unknown,4.6,6700.0,Unknown
Die Alone,Unknown,5.8,5600.0,Unknown
The American Society of Magical Negroes,Unknown,3.8,13000.0,Unknown
Mr. K,Unknown,5.4,2000.0,Unknown
Black Dog,Unknown,7.2,5500.0,Unknown
The Day the Earth Blew Up: A Looney Tunes Movie,Unknown,6.8,8600.0,Unknown
Cabrini,Unknown,7.3,9900.0,Unknown
Afraid,Unknown,5.2,17000.0,Unknown
Get Away,Unknown,5.3,11000.0,Unknown
Viva Verdi!,Unknown,6.2,287000.0,Unknown
Last Night on Earth,Unknown,4.7,655000.0,Unknown
The Greatest Hits,Unknown,6.2,8700.0,Unknown
Slingshot,Unknown,5.7,12000.0,Unknown
Dreams,Unknown,7.2,3300.0,Unknown
The Fix,Unknown,4.7,2300.0,Unknown
Uprising,Unknown,6.6,7000.0,Unknown
Dead Sea,Unknown,5.2,6000.0,Unknown
The Trainer,Unknown,5.6,107000.0,Unknown
Strangers,Unknown,4.3,577000.0,Unknown
Watchmen: Chapter I,Unknown,7.1,8200.0,Unknown
Trigger Warning,Unknown,4.6,21000.0,Unknown
Hear Me: Our Summer,Unknown,7.5,1500.0,Unknown
Justice League: Crisis on Infinite Earths - Part Three,Unknown,6.1,5600.0,Unknown
Sew Torn,Unknown,6.0,2800.0,Unknown
Will & Harper,Unknown,7.4,14000.0,Unknown
F*** Marry Kill,Unknown,5.3,5400.0,Unknown
Bull Run,Unknown,4.2,262000.0,Unknown
Marmalade,Unknown,6.3,4500.0,Unknown
