Movie Name,Rating,Votes,Duration
Never Let Go,5.4,19000.0,Unknown
Unfrosted,5.5,37000.0,Unknown
The Fable,6.3,21000.0,Unknown
Goodrich,6.3,7600.0,Unknown
Queen of the Ring,6.4,3100.0,Unknown
Culpa tuya,5.3,18000.0,Unknown
Lonely Planet,5.7,13000.0,Unknown
Lazareth,4.4,1200.0,Unknown
Sacramento,5.9,3800.0,Unknown
Canary Black,5.4,14000.0,Unknown
Beating Hearts,7.0,8300.0,Unknown
Saali Mohabbat,7.2,4200.0,Unknown
Dirty Angels,4.6,6700.0,Unknown
Die Alone,5.8,5600.0,Unknown
The American Society of Magical Negroes,3.8,13000.0,Unknown
Mr. K,5.4,2000.0,Unknown
Black Dog,7.2,5500.0,Unknown
The Day the Earth Blew Up: A Looney Tunes Movie,6.8,8600.0,Unknown
Cabrini,7.3,9900.0,Unknown
Afraid,5.2,17000.0,Unknown
Get Away,5.3,11000.0,Unknown
Viva Verdi!,6.2,287000.0,Unknown
Last Night on Earth,4.7,655000.0,Unknown
The Greatest Hits,6.2,8700.0,Unknown
Slingshot,5.7,12000.0,Unknown
Dreams,7.2,3300.0,Unknown
The Fix,4.7,2300.0,Unknown
Uprising,6.6,7000.0,Unknown
Dead Sea,5.2,6000.0,Unknown
The Trainer,5.6,107000.0,Unknown
Strangers,4.3,577000.0,Unknown
Watchmen: Chapter I,7.1,8200.0,Unknown
Trigger Warning,4.6,21000.0,Unknown
Hear Me: Our Summer,7.5,1500.0,Unknown
Justice League: Crisis on Infinite Earths - Part Three,6.1,5600.0,Unknown
Sew Torn,6.0,2800.0,Unknown
Will & Harper,7.4,14000.0,Unknown
F*** Marry Kill,5.3,5400.0,Unknown
Bull Run,4.2,262000.0,Unknown
Marmalade,6.3,4500.0,Unknown
Apocalypse Z: The Beginning of the End,6.1,23000.0,Unknown
Premalu,7.8,23000.0,Unknown
Somnium,4.9,1300.0,Unknown
Drugstore June,5.4,2200.0,Unknown
Woodwalkers,5.0,1100.0,Unknown
"Canadian, Sniper",3.7,682000.0,Unknown
I Don't Understand You,5.4,2200.0,Unknown
Drive Back,4.6,1300.0,Unknown
Skincare,5.7,5900.0,Unknown
Hide N Seek,8.4,2400.0,Unknown
Blood Star,6.0,6900.0,Unknown
Through My Window: Looking at You,5.5,6600.0,Unknown
Two to One,6.1,1300.0,Unknown
Humane,5.5,9200.0,Unknown
Aftermath,5.2,5100.0,Unknown
Force of Nature,5.9,9500.0,Unknown
The Knife,5.8,476000.0,Unknown
The Shadow Strays,6.5,11000.0,Unknown
Hidden Face,6.2,1000.0,Unknown
The Thicket,5.9,5700.0,Unknown
On Becoming a Guinea Fowl,7.0,2500.0,Unknown
The Ruse,5.5,2800.0,Unknown
Pedro Páramo,6.3,3500.0,Unknown
Race for Glory: Audi vs. Lancia,5.8,5900.0,Unknown
Diane Warren: Relentless,6.3,634000.0,Unknown
The Marching Band,7.4,6500.0,Unknown
Bagman,4.7,7900.0,Unknown
Hot Spot,7.3,1100.0,Unknown
Harvest,6.0,2000.0,Unknown
The Summer Book,6.5,1300.0,Unknown
Succubus,4.7,2100.0,Unknown
Rich Flu,5.0,7700.0,Unknown
Manas,7.8,1200.0,Unknown
Handsome Guys,6.5,1800.0,Unknown
Ghostlight,7.5,8000.0,Unknown
Romance on the Ranch,6.8,617000.0,Unknown
Weekend in Taipei,5.7,6800.0,Unknown
The Roundup: Punishment,6.6,6600.0,Unknown
When Fall Is Coming,6.9,4200.0,Unknown
The 4:30 Movie,6.0,4600.0,Unknown
Life of Belle,5.0,842000.0,Unknown
The Devil's Bath,6.6,7900.0,Unknown
Four Mothers,6.7,1000.0,Unknown
No Way Up,4.6,12000.0,Unknown
Sector 36,7.1,27000.0,Unknown
Al Fayed: Predator at Harrods,5.2,106000.0,Unknown
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,6.2,3600.0,Unknown
Santosh,7.1,3500.0,Unknown
Manjummel Boys,8.2,33000.0,Unknown
Kishkindha Kaandam,8.0,16000.0,Unknown
Waltzing with Brando,5.9,1100.0,Unknown
Ick,5.2,1900.0,Unknown
Beautiful Wedding,4.1,5100.0,Unknown
Sumala,5.8,1600.0,Unknown
The Master and Margarita,7.1,6600.0,Unknown
Robin and the Hoods,4.3,631000.0,Unknown
Striking Rescue,5.7,1300.0,Unknown
The Cut,5.6,1900.0,Unknown
Dead Mail,6.0,3400.0,Unknown
Ghost Train,5.2,547000.0,Unknown
Armor,3.6,5500.0,Unknown
Unit 234,5.4,1300.0,Unknown
My Favourite Cake,7.4,9800.0,Unknown
Watchmen: Chapter II,7.1,4500.0,Unknown
Justice League: Crisis on Infinite Earths - Part One,6.2,9700.0,Unknown
Longing,4.8,1400.0,Unknown
Bookworm,6.0,2700.0,Unknown
Piece by Piece,6.9,7600.0,Unknown
Millers in Marriage,5.4,857000.0,Unknown
Irish Wish,5.3,23000.0,Unknown
Lembayung,5.8,893000.0,Unknown
My Penguin Friend,6.8,7100.0,Unknown
Omni Loop,5.6,3800.0,Unknown
Bonjour Tristesse,5.7,1300.0,Unknown
Badland Hunters,6.0,13000.0,Unknown
Lake George,6.5,2100.0,Unknown
Pavements,7.0,1200.0,Unknown
El 47,7.2,5000.0,Unknown
Frewaka,6.1,3100.0,Unknown
2B Honest,4.1,123000.0,Unknown
Vanished Into the Night,5.2,5200.0,Unknown
Hot Frosty,5.3,16000.0,Unknown
The Wailing,6.0,2900.0,Unknown
Lilly,7.0,727000.0,Unknown
Article 370,7.8,27000.0,Unknown
The Radleys,5.1,3600.0,Unknown
The Piano Lesson,6.2,5600.0,Unknown
Kill the Jockey,6.3,3000.0,Unknown
Code 8: Part II,5.7,17000.0,Unknown
Sunshine,7.4,408000.0,Unknown
Soundtrack to a Coup d'Etat,7.8,3900.0,Unknown
7 Keys,5.9,55000.0,Unknown
La Cocina,7.0,4900.0,Unknown
White Snake: Afloat,6.9,785000.0,Unknown
Grafted,5.6,3400.0,Unknown
Saint Clare,4.6,1200.0,Unknown
Mon Potongo,4.6,972000.0,Unknown
Life After Fighting,6.4,2700.0,Unknown
Cookster: The Darkest Days,6.3,108000.0,Unknown
Monster Island,5.2,2200.0,Unknown
The Day Everything Changed,6.7,205000.0,Unknown
KA,7.1,2000.0,Unknown
Happyend,6.8,1900.0,Unknown
Vermiglio,6.9,6800.0,Unknown
Bonhoeffer: Pastor. Spy. Assassin.,6.2,4600.0,Unknown
Madgaon Express,7.0,43000.0,Unknown
18×2 Beyond Youthful Days,7.5,2900.0,Unknown
My Fault,4.2,7500.0,Unknown
I Wish You All the Best,5.5,607000.0,Unknown
The Inheritance,4.7,3400.0,Unknown
"Hammer: Heroes, Legends and Monsters",6.6,257000.0,Unknown
Behind the Lines,8.1,55000.0,Unknown
Superboys of Malegaon,7.7,8400.0,Unknown
Someone Like You,5.9,2800.0,Unknown
Twilight of the Warriors: Walled In,6.9,12000.0,Unknown
Eephus,6.7,2300.0,Unknown
Rob Peace,6.6,2800.0,Unknown
Rumours,4.8,6200.0,Unknown
100 litraa sahtia,6.4,1300.0,Unknown
Marcella,8.1,70000.0,Unknown
Under Paris,5.2,39000.0,Unknown
Baby John,5.0,19000.0,Unknown
Outbreak,4.5,1800.0,Unknown
On Falling,7.0,1900.0,Unknown
Cheaters,4.3,230000.0,Unknown
Hell Hole,4.4,1500.0,Unknown
The Wasp,6.1,6000.0,Unknown
A House on Fire,7.2,4100.0,Unknown
Macbeth,7.9,192000.0,Unknown
Gaslit by My Husband: The Morgan Metzer Story,6.1,681000.0,Unknown
Dead Money,5.8,953000.0,Unknown
Love in the Big City,7.4,2300.0,Unknown
The Bibi Files,7.6,1900.0,Unknown
Sex,6.6,2500.0,Unknown
Milk & Serial,6.6,3300.0,Unknown
"Husband, Father, Killer: The Alyssa Pladl Story",6.3,515000.0,Unknown
River of Blood,4.6,2800.0,Unknown
Sweet Dreams,5.5,1900.0,Unknown
Outside,5.1,5300.0,Unknown
The Goat Life,7.1,50000.0,Unknown
Universal Language,6.9,3100.0,Unknown
Touch,7.4,7100.0,Unknown
Justice League: Crisis on Infinite Earths - Part Two,5.6,6400.0,Unknown
Teri Baaton Mein Aisa Uljha Jiya,6.2,56000.0,Unknown
Sound of Hope: The Story of Possum Trot,7.1,2500.0,Unknown
Sahbek Rajel,7.9,160000.0,Unknown
Jim Henson: Idea Man,7.7,4300.0,Unknown
Pegasus 2,6.9,1500.0,Unknown
Tyler Perry's Divorce in the Black,4.7,3900.0,Unknown
Breathe,4.3,8300.0,Unknown
Rita,5.5,1200.0,Unknown
Seeking Haven for Mr. Rambo,8.0,1800.0,Unknown
Sweethearts,5.5,4800.0,Unknown
The Beast Within,4.3,6300.0,Unknown
The Prosecutor,6.5,4400.0,Unknown
Music by John Williams,8.2,5900.0,Unknown
Escape,6.4,2700.0,Unknown
The End,5.4,3200.0,Unknown
Winner,6.5,3300.0,Unknown
Cult Killer,4.8,3400.0,Unknown
Crew,5.8,39000.0,Unknown
Boys Go to Jupiter,6.5,648000.0,Unknown
Things Will Be Different,5.2,3400.0,Unknown
Misericordia,6.7,4500.0,Unknown
Parallel,5.3,2300.0,Unknown
Buffalo Kids,6.6,1000.0,Unknown
Bad Genius,6.3,3300.0,Unknown
The Second Act,6.4,4700.0,Unknown
Winter in Sokcho,6.8,1400.0,Unknown
Dead Talents Society,7.0,3800.0,Unknown
Mom,4.6,588000.0,Unknown
Find Me Falling,6.3,14000.0,Unknown
Year 10,5.4,3000.0,Unknown
Loveable,7.5,4700.0,Unknown
Micro Budget,7.6,53000.0,Unknown
Space Cowboy,9.0,62000.0,Unknown
Sting,5.7,19000.0,Unknown
Unsung Hero,7.0,5700.0,Unknown
Aavesham,7.8,33000.0,Unknown
